Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
conv_Admin_ace1f0c4	p	You're talking to me, the Admin! I'm a side character!	game/tl/test/characters/C_Admin.rpy	7	p "[what]"
conv_Admin_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Admin.rpy	13	p "[what]"
conv_Admin_e375c1af	pc	We sure are.	game/tl/test/characters/C_Admin.rpy	19	pc "[what]"
conv_Admin_57659f9d	p	See ya	game/tl/test/characters/C_Admin.rpy	25	p "[what]"
conv_Arnolfini_42c192ba	p	You're talking to me, the Arnolfini!	game/tl/test/characters/C_Arnolfini.rpy	7	p "[what]"
conv_Arnolfini_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Arnolfini.rpy	13	p "[what]"
conv_Arnolfini_e375c1af	pc	We sure are.	game/tl/test/characters/C_Arnolfini.rpy	19	pc "[what]"
conv_Arnolfini_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Arnolfini.rpy	25	p "[what]"
conv_Arnolfini_57659f9d	p	See ya	game/tl/test/characters/C_Arnolfini.rpy	31	p "[what]"
conv_Arnolfini_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Arnolfini.rpy	37	p "[what]" nointeract
conv_Arnolfini_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_Arnolfini.rpy	43	p "[what]"
conv_Arnolfini_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_Arnolfini.rpy	49	p "[what]"
conv_Arnolfini_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Arnolfini.rpy	55	p "[what]"
conv_Arnolfini_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Arnolfini.rpy	61	p "[what]"
conv_Arnolfini_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Arnolfini.rpy	67	pc "[what]"
conv_Arnolfini_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Arnolfini.rpy	73	p "[what]"
conv_Arnolfini_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Arnolfini.rpy	79	p "[what]"
conv_Arnolfini_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Arnolfini.rpy	85	pc "[what]"
conv_Arnolfini_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_Arnolfini.rpy	91	p "[what]"
conv_Arnolfini_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Arnolfini.rpy	97	p "[what]"
conv_Arnolfini_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Arnolfini.rpy	103	p "[what]"
conv_Arnolfini_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Arnolfini.rpy	109	pc "[what]"
conv_Arnolfini_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Arnolfini.rpy	115	p "[what]"
conv_Arnolfini_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Arnolfini.rpy	121	p "[what]"
conv_Arnolfini_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Arnolfini.rpy	127	pc "[what]"
conv_Arnolfini_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_Arnolfini.rpy	133	p "[what]"
conv_Arnolfini_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Arnolfini.rpy	139	p "[what]"
conv_Arnolfini_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Arnolfini.rpy	145	p "[what]"
conv_Arnolfini_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Arnolfini.rpy	151	pc "[what]"
conv_Arnolfini_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Arnolfini.rpy	157	p "[what]"
conv_Arnolfini_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Arnolfini.rpy	163	p "[what]"
conv_Arnolfini_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Arnolfini.rpy	169	pc "[what]"
conv_Arnolfini_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_Arnolfini.rpy	175	p "[what]"
conv_Arnolfini_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Arnolfini.rpy	181	p "[what]"
conv_Arnolfini_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Arnolfini.rpy	187	p "[what]"
